year,deaths,attacktype
2003,4,Armed Assault
2004,94,Armed Assault
2005,24,Armed Assault
2007,130,Armed Assault
2008,71,Armed Assault
2009,25,Armed Assault
2010,58,Armed Assault
2011,156,Armed Assault
2012,418,Armed Assault
2013,146,Armed Assault
2014,270,Armed Assault
2015,82,Armed Assault
2016,80,Armed Assault
2017,71,Armed Assault
2018,24,Armed Assault
2019,33,Armed Assault
2002,3,Assassination
2003,15,Assassination
2005,30,Assassination
2006,11,Assassination
2007,31,Assassination
2008,8,Assassination
2009,9,Assassination
2010,26,Assassination
2011,23,Assassination
2012,56,Assassination
2013,37,Assassination
2014,60,Assassination
2015,48,Assassination
2016,43,Assassination
2017,16,Assassination
2018,6,Assassination
2019,1,Assassination
1992,3,Bombing/Explosion
1998,235,Bombing/Explosion
2000,19,Bombing/Explosion
2001,0,Bombing/Explosion
2002,97,Bombing/Explosion
2003,116,Bombing/Explosion
2004,208,Bombing/Explosion
2005,844,Bombing/Explosion
2006,111,Bombing/Explosion
2007,979,Bombing/Explosion
2008,533,Bombing/Explosion
2009,355,Bombing/Explosion
2010,325,Bombing/Explosion
2011,437,Bombing/Explosion
2012,1184,Bombing/Explosion
2013,625,Bombing/Explosion
2014,447,Bombing/Explosion
2015,231,Bombing/Explosion
2016,104,Bombing/Explosion
2017,164,Bombing/Explosion
2018,43,Bombing/Explosion
2019,24,Bombing/Explosion
2004,13,Facility/Infrastructure Attack
2005,0,Facility/Infrastructure Attack
2007,20,Facility/Infrastructure Attack
2009,0,Facility/Infrastructure Attack
2011,10,Facility/Infrastructure Attack
2014,3,Facility/Infrastructure Attack
2015,0,Facility/Infrastructure Attack
2017,0,Facility/Infrastructure Attack
2001,3004,Hijacking
2013,0,Hijacking
2014,0,Hijacking
2004,22,Hostage Taking (Barricade Incident)
2013,5,Hostage Taking (Barricade Incident)
2015,20,Hostage Taking (Barricade Incident)
2016,13,Hostage Taking (Barricade Incident)
2003,0,Hostage Taking (Kidnapping)
2017,6,Hostage Taking (Kidnapping)
2018,7,Hostage Taking (Kidnapping)
2019,26,Hostage Taking (Kidnapping)
2004,2,Hostage Taking (Kidnapping)
2005,5,Hostage Taking (Kidnapping)
2006,1,Hostage Taking (Kidnapping)
2007,16,Hostage Taking (Kidnapping)
2008,15,Hostage Taking (Kidnapping)
2009,2,Hostage Taking (Kidnapping)
2010,3,Hostage Taking (Kidnapping)
2011,6,Hostage Taking (Kidnapping)
2012,216,Hostage Taking (Kidnapping)
2013,21,Hostage Taking (Kidnapping)
2014,87,Hostage Taking (Kidnapping)
2015,15,Hostage Taking (Kidnapping)
2016,31,Hostage Taking (Kidnapping)
2017,6,Unknown
2018,6,Unknown
2007,5,Unknown
2008,12,Unknown
2009,35,Unknown
2010,28,Unknown
2011,81,Unknown
2012,44,Unknown
2013,9,Unknown
2014,46,Unknown
2015,18,Unknown
2016,9,Unknown